"id_discente";"ano_ingresso";"periodo_ingresso";"nivel_ensino";"id_curso";"curso";"situacao";"data_alteracao_situacao";"ano_alteracao_situacao";"periodo_alteracao_situacao"
339c2c5710b821edcb495e6ff360ec19;2020;1;MESTRADO;315757;MESTRADO EM ESTUDOS DA LINGUAGEM;EM HOMOLOGAÇÃO;2022/03/16 12:13:57.663000000;2022;1
a2b4f423791c47da296ded2e99e2f6a6;2021;1;LATO SENSU;138139175;ESPECIALIZAÇÃO EM ALFABETIZAÇÃO + NEUROCIÊNCIAS: INTERFACES NA EDUCAÇÃO INTEGRAL;CANCELADO;2022/03/18 12:03:32.295000000;2022;1
cef109be8be1d1b64c237b1023dd8ceb;2014;1;LATO SENSU;96980770;ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS;CONCLUÍDO;2022/03/23 10:48:51.807000000;2022;1
cef109be8be1d1b64c237b1023dd8ceb;2014;1;LATO SENSU;96980770;ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS;CONCLUÍDO;2022/03/23 13:02:00.347000000;2022;1
cef109be8be1d1b64c237b1023dd8ceb;2014;1;LATO SENSU;96980770;ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS;ATIVO;2022/03/23 14:03:25.604000000;2022;1
eabdfdd70840e6fe054b0bf0116e9a05;2020;1;MESTRADO;315757;MESTRADO EM ESTUDOS DA LINGUAGEM;EM HOMOLOGAÇÃO;2022/03/31 11:38:38.555000000;2022;1
e864e88527553e7bdda81b23d3cd6d10;2020;1;MESTRADO;95868917;MESTRADO EM MÚSICA;DEFENDIDO;2021/12/23 14:12:55.435000000;2022;1
e864e88527553e7bdda81b23d3cd6d10;2020;1;MESTRADO;95868917;MESTRADO EM MÚSICA;EM HOMOLOGAÇÃO;2021/12/24 09:27:39.082000000;2022;1
22620071baf386b80a1d87b0f01a9b4d;2019;1;MESTRADO;315769;MESTRADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR;DEFENDIDO;2022/01/11 13:25:06.148000000;2022;1
22620071baf386b80a1d87b0f01a9b4d;2019;1;MESTRADO;315769;MESTRADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR;EM HOMOLOGAÇÃO;2022/01/11 13:36:38.963000000;2022;1
b467ee634ee11e4055adcb9f6c76395e;2017;2;DOUTORADO;315743;DOUTORADO EM CIÊNCIA DA COMPUTAÇÃO;DEFENDIDO;2022/01/11 19:39:26.662000000;2022;1
ee46fac73efd6accccd3cba61a2a54f0;2019;1;MESTRADO;113759737;MESTRADO PROFISSIONAL EM ENSINO DE HISTÓRIA - PROFHISTORIA;DEFENDIDO;2022/01/12 17:21:35.694000000;2022;1
b467ee634ee11e4055adcb9f6c76395e;2017;2;DOUTORADO;315743;DOUTORADO EM CIÊNCIA DA COMPUTAÇÃO;EM HOMOLOGAÇÃO;2022/01/12 18:56:41.295000000;2022;1
ee46fac73efd6accccd3cba61a2a54f0;2019;1;MESTRADO;113759737;MESTRADO PROFISSIONAL EM ENSINO DE HISTÓRIA - PROFHISTORIA;EM HOMOLOGAÇÃO;2022/01/12 18:58:58.162000000;2022;1
58a73311eb5ba403c28722672b2a9e6e;2019;1;MESTRADO;315742;MESTRADO EM SISTEMAS E COMPUTAÇÃO;DEFENDIDO;2022/01/13 14:45:53.992000000;2022;1
7476b98e6bb5b66ce48f0d14715ce043;2015;1;MESTRADO;101050284;MESTRADO EM BIOLOGIA PARASITÁRIA;DEFENDIDO;2022/01/17 11:55:00.090000000;2022;1
493f1bfb18e130485337b7eae46f2d53;2021;1;MESTRADO;315742;MESTRADO EM SISTEMAS E COMPUTAÇÃO;ATIVO;2022/01/17 11:48:25.823000000;2022;1
3b22d3e9bbbce547e45da75de6acb91d;2018;1;DOUTORADO;9285380;DOUTORADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR;EM HOMOLOGAÇÃO;2022/01/17 17:10:21.401000000;2022;1
3b22d3e9bbbce547e45da75de6acb91d;2018;1;DOUTORADO;9285380;DOUTORADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR;DEFENDIDO;2022/01/17 15:52:36.027000000;2022;1
58a73311eb5ba403c28722672b2a9e6e;2019;1;MESTRADO;315742;MESTRADO EM SISTEMAS E COMPUTAÇÃO;EM HOMOLOGAÇÃO;2022/01/13 20:32:38.377000000;2022;1
7476b98e6bb5b66ce48f0d14715ce043;2015;1;MESTRADO;101050284;MESTRADO EM BIOLOGIA PARASITÁRIA;EM HOMOLOGAÇÃO;2022/01/17 12:16:29.981000000;2022;1
6b6e6f5e440952929ba88d15a987fed1;2019;2;DOUTORADO;84739891;DOUTORADO EM SAÚDE COLETIVA;DEFENDIDO;2022/01/19 07:21:15.342000000;2022;1
88e0cf93506b52e63cabb25c8dd17b8e;2020;1;MESTRADO;315747;MESTRADO EM ENFERMAGEM;DEFENDIDO;2022/01/20 12:59:09.460000000;2022;1
4788df5dcad6f47582f08cde260d2226;2020;1;MESTRADO;95868917;MESTRADO EM MÚSICA;EM HOMOLOGAÇÃO;2022/01/20 13:08:59.671000000;2022;1
60f90c79d039fd539130cfa950691256;2018;1;DOUTORADO;50903134;DOUTORADO EM ENFERMAGEM NA ATENÇÃO À SAÚDE;EM HOMOLOGAÇÃO;2022/01/21 16:14:48.275000000;2022;1
60f90c79d039fd539130cfa950691256;2018;1;DOUTORADO;50903134;DOUTORADO EM ENFERMAGEM NA ATENÇÃO À SAÚDE;ATIVO;2022/01/21 16:21:55.880000000;2022;1
88e0cf93506b52e63cabb25c8dd17b8e;2020;1;MESTRADO;315747;MESTRADO EM ENFERMAGEM;EM HOMOLOGAÇÃO;2022/01/20 13:07:21.762000000;2022;1
60f90c79d039fd539130cfa950691256;2018;1;DOUTORADO;50903134;DOUTORADO EM ENFERMAGEM NA ATENÇÃO À SAÚDE;DEFENDIDO;2022/01/21 13:18:24.721000000;2022;1
60f90c79d039fd539130cfa950691256;2018;1;DOUTORADO;50903134;DOUTORADO EM ENFERMAGEM NA ATENÇÃO À SAÚDE;EM HOMOLOGAÇÃO;2022/01/21 16:27:35.151000000;2022;1
e25cabbc56cf7069543585362da81ae1;2016;2;MESTRADO;113759737;MESTRADO PROFISSIONAL EM ENSINO DE HISTÓRIA - PROFHISTORIA;DEFENDIDO;2022/01/19 09:39:29.474000000;2022;1
