"id_discente";"ano_ingresso";"periodo_ingresso";"nivel_ensino";"id_curso";"curso";"situacao";"data_alteracao_situacao";"ano_alteracao_situacao";"periodo_alteracao_situacao"
78ea3efd95744dddfe63a6d1cf767055;2021;1;MESTRADO;103197769;MESTRADO EM NUTRIÇÃO;DEFENDIDO;2023/07/24 18:09:52.437000000;2023;2
78ea3efd95744dddfe63a6d1cf767055;2021;1;MESTRADO;103197769;MESTRADO EM NUTRIÇÃO;EM HOMOLOGAÇÃO;2023/07/24 18:10:43.989000000;2023;2
e5d1ea95a24cd75c092338a35d5f20ea;2019;1;GRADUAÇÃO;111635050;FÍSICA;ATIVO;2023/08/13 13:15:36.699000000;2023;2
d4cf43f49f7e7495e694ec81da53a419;2022;2;LATO SENSU;156794536;ESPECIALIZAÇÃO EM AUDITORIA EM SAÚDE;CANCELADO;2023/08/15 15:00:52.936000000;2023;2
e6dab6051794f919e3a88de78168ccdc;2022;2;LATO SENSU;156794536;ESPECIALIZAÇÃO EM AUDITORIA EM SAÚDE;CANCELADO;2023/08/15 15:01:24.581000000;2023;2
e202f0622a67bcb0290034f5e2ce6325;2015;1;GRADUAÇÃO;2000039;FARMÁCIA;ATIVO;2023/08/13 19:48:14.555000000;2023;2
7855714a30566b9044856bf4c976b061;2018;1;GRADUAÇÃO;2000039;FARMÁCIA;ATIVO;2023/08/13 19:56:31.769000000;2023;2
c07ec5bb45eeace7d585a2b88f64cb96;2022;1;LATO SENSU;141222876;ESPECIALIZAÇÃO EM CITOLOGIA GINECOLÓGICA ONCÓTICA;CONCLUÍDO;2023/10/25 12:21:42.886000000;2023;2
89b3982bd7327c54d231833c037622a7;2019;1;GRADUAÇÃO;92127264;TECNOLOGIA DA INFORMAÇÃO;ATIVO;2023/08/13 21:33:09.512000000;2023;2
0401bc74b40903f7210f9d7cfd235523;2020;1;GRADUAÇÃO;92127264;TECNOLOGIA DA INFORMAÇÃO;ATIVO;2023/08/13 22:32:24.112000000;2023;2
a83d60a5a32081735cbe49da79aade5a;2021;1;MESTRADO;84739892;MESTRADO PROFISSIONAL EM MATEMÁTICA EM REDE NACIONAL;EM HOMOLOGAÇÃO;2023/08/14 09:27:39.435000000;2023;2
d7bbb92c9f1eb58b77d384572fdf4495;2023;2;TÉCNICO;96054058;CURSO TÉCNICO DA METRÓPOLE DIGITAL;ATIVO;2023/08/14 10:14:12.316000000;2023;2
8ea2bf5cc17231af02618e880d700478;2007;2;LATO SENSU;1087370;ESPECIALIZAÇÃO EM ENGENHARIA E SEGURANÇA DO TRABALHO;CANCELADO;2023/11/01 08:32:57.733000000;2023;2
30a924734393c6a3963f58493296319b;1993;2;MESTRADO;315776;MESTRADO EM CIÊNCIAS SOCIAIS;DEFENDIDO;2023/11/14 16:35:14.199000000;2023;2
915721e574ff09cd5e21993b98c8c772;2021;2;MESTRADO;101050603;MESTRADO PROFISSIONAL EM GESTÃO DA QUALIDADE EM SERVIÇOS DE SAÚDE;DEFENDIDO;2023/07/03 13:45:32.432000000;2023;2
915721e574ff09cd5e21993b98c8c772;2021;2;MESTRADO;101050603;MESTRADO PROFISSIONAL EM GESTÃO DA QUALIDADE EM SERVIÇOS DE SAÚDE;EM HOMOLOGAÇÃO;2023/07/03 15:34:00.715000000;2023;2
b874a4f662227a43611342ea446b5bca;2021;1;MESTRADO;115830568;MESTRADO EM SAÚDE COLETIVA - FACISA;DEFENDIDO;2023/07/05 10:21:22.823000000;2023;2
b874a4f662227a43611342ea446b5bca;2021;1;MESTRADO;115830568;MESTRADO EM SAÚDE COLETIVA - FACISA;EM HOMOLOGAÇÃO;2023/07/05 16:01:37.433000000;2023;2
e576b8c1153033c6590b24df71f6b891;2019;1;MESTRADO;108416320;MESTRADO EM CIÊNCIAS CONTÁBEIS;ATIVO;2023/06/28 08:54:03.766000000;2023;2
190a53bf79d3a7e4b2da897d3dc372dc;2023;1;MESTRADO;108416320;MESTRADO EM CIÊNCIAS CONTÁBEIS;ATIVO;2023/06/29 08:39:44.139000000;2023;2
afeb7ed743f2e70842e5fc3e9e47caf6;2021;1;MESTRADO;507420;MESTRADO EM ARTES CÊNICAS;DEFENDIDO;2023/07/07 10:16:10.778000000;2023;2
afeb7ed743f2e70842e5fc3e9e47caf6;2021;1;MESTRADO;507420;MESTRADO EM ARTES CÊNICAS;EM HOMOLOGAÇÃO;2023/07/07 13:50:54.322000000;2023;2
333f99a1775f7571c63248f7de1f205e;2022;1;MESTRADO;97339504;MESTRADO PROFISSIONAL EM GESTÃO DE PROCESSOS INSTITUCIONAIS;DEFENDIDO;2023/07/11 08:14:31.076000000;2023;2
333f99a1775f7571c63248f7de1f205e;2022;1;MESTRADO;97339504;MESTRADO PROFISSIONAL EM GESTÃO DE PROCESSOS INSTITUCIONAIS;EM HOMOLOGAÇÃO;2023/07/11 08:49:14.831000000;2023;2
e567f5d340e318326a6128384f917eea;2021;1;MESTRADO;97339504;MESTRADO PROFISSIONAL EM GESTÃO DE PROCESSOS INSTITUCIONAIS;EM HOMOLOGAÇÃO;2023/07/12 11:53:44.347000000;2023;2
632b78135b0170ef15222aaba51a4a3c;2021;1;MESTRADO;97339504;MESTRADO PROFISSIONAL EM GESTÃO DE PROCESSOS INSTITUCIONAIS;EM HOMOLOGAÇÃO;2023/07/12 16:02:42.174000000;2023;2
964cdc9dcfa7729542611f3d9a0e9b1b;2021;1;MESTRADO;19106930;MESTRADO EM ESTUDOS URBANOS E REGIONAIS;EM HOMOLOGAÇÃO;2023/07/14 16:20:36.498000000;2023;2
e567f5d340e318326a6128384f917eea;2021;1;MESTRADO;97339504;MESTRADO PROFISSIONAL EM GESTÃO DE PROCESSOS INSTITUCIONAIS;DEFENDIDO;2023/07/12 11:35:53.942000000;2023;2
