"id_discente";"ano_ingresso";"periodo_ingresso";"nivel_ensino";"id_curso";"curso";"situacao";"data_alteracao_situacao";"ano_alteracao_situacao";"periodo_alteracao_situacao"
bf6441f720dd34042b7fdcc3ed972c24;2020;2;MESTRADO;315756;MESTRADO PROFISSIONAL EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA;EM HOMOLOGAÇÃO;2023/12/19 10:54:12.085000000;2024;1
78d74bacf218903023d11abe566824b2;2021;1;MESTRADO;19106930;MESTRADO EM ESTUDOS URBANOS E REGIONAIS;DEFENDIDO;2023/12/21 16:35:04.517000000;2024;1
bf6441f720dd34042b7fdcc3ed972c24;2020;2;MESTRADO;315756;MESTRADO PROFISSIONAL EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA;DEFENDIDO;2023/12/19 10:17:03.578000000;2024;1
78d74bacf218903023d11abe566824b2;2021;1;MESTRADO;19106930;MESTRADO EM ESTUDOS URBANOS E REGIONAIS;EM HOMOLOGAÇÃO;2023/12/21 19:25:48.090000000;2024;1
79767001861e294e74041b3549e947d0;2021;1;TÉCNICO;96054058;CURSO TÉCNICO DA METRÓPOLE DIGITAL;ATIVO;2023/12/26 09:21:53.295000000;2024;1
b54b84b011ec8778867a92c982ab1a3f;2022;2;TÉCNICO;96054058;CURSO TÉCNICO DA METRÓPOLE DIGITAL;ATIVO;2023/12/26 09:22:26.270000000;2024;1
0c21ccae775d798f0ccf0fd9997b6e81;2021;2;MESTRADO;315756;MESTRADO PROFISSIONAL EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA;DEFENDIDO;2023/12/26 11:48:15.848000000;2024;1
0c21ccae775d798f0ccf0fd9997b6e81;2021;2;MESTRADO;315756;MESTRADO PROFISSIONAL EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA;EM HOMOLOGAÇÃO;2023/12/26 11:49:28.320000000;2024;1
282cd670203da88b18d494c832db192a;2021;1;MESTRADO;19106930;MESTRADO EM ESTUDOS URBANOS E REGIONAIS;DEFENDIDO;2023/12/28 18:15:35.491000000;2024;1
282cd670203da88b18d494c832db192a;2021;1;MESTRADO;19106930;MESTRADO EM ESTUDOS URBANOS E REGIONAIS;EM HOMOLOGAÇÃO;2023/12/28 23:11:51.709000000;2024;1
693f03fb7dced113ccaa8809c895d623;2022;1;TÉCNICO;96054058;CURSO TÉCNICO DA METRÓPOLE DIGITAL;ATIVO;2023/12/31 13:07:49.868000000;2024;1
993b3791bb47e4800ee16ad9ec4ddd27;2022;1;TÉCNICO;96054058;CURSO TÉCNICO DA METRÓPOLE DIGITAL;ATIVO;2024/01/02 10:11:51.362000000;2024;1
4901074a592867532f9686657cf7d6a7;2019;1;DOUTORADO;115789618;DOUTORADO EM FILOSOFIA;DEFENDIDO;2024/01/02 12:11:45.350000000;2024;1
4901074a592867532f9686657cf7d6a7;2019;1;DOUTORADO;115789618;DOUTORADO EM FILOSOFIA;DEFENDIDO;2024/01/02 12:12:48.527000000;2024;1
4901074a592867532f9686657cf7d6a7;2019;1;DOUTORADO;115789618;DOUTORADO EM FILOSOFIA;EM HOMOLOGAÇÃO;2024/01/02 15:43:33.620000000;2024;1
e523256a221ba72289a135266dbea23b;2020;1;GRADUAÇÃO;10320810;CIÊNCIAS E TECNOLOGIA;ATIVO;2024/01/02 16:41:02.621000000;2024;1
