"id_discente";"ano_ingresso";"periodo_ingresso";"nivel_ensino";"id_curso";"curso";"situacao";"data_alteracao_situacao";"ano_alteracao_situacao";"periodo_alteracao_situacao"
4372816adefd81d87e9142304ae6c9fa;2011;1;MESTRADO;315776;MESTRADO EM CIÊNCIAS SOCIAIS;CANCELADO;2014/02/13 11:32:07.810000000;2014;1
4372816adefd81d87e9142304ae6c9fa;2011;1;MESTRADO;315776;MESTRADO EM CIÊNCIAS SOCIAIS;ATIVO;2014/02/13 11:33:42.923000000;2014;1
f03c2f201a798672252b7af7ba19a64f;2010;2;DOUTORADO;315774;DOUTORADO EM CIÊNCIAS DA SAÚDE;ATIVO;2014/03/19 13:04:21.471000000;2014;1
6e27068b87b5c8685fd7dcea4d7c5e8a;2008;1;MESTRADO;16932350;MESTRADO EM CIENCIAS CONTABEIS (UNB-UFRN-UFPB);EM HOMOLOGAÇÃO;2014/05/22 23:22:14.298000000;2014;1
a639496b32b3c174b1df8d77df309c30;2007;1;MESTRADO;16932350;MESTRADO EM CIENCIAS CONTABEIS (UNB-UFRN-UFPB);EM HOMOLOGAÇÃO;2014/05/23 01:21:16.040000000;2014;1
a639496b32b3c174b1df8d77df309c30;2007;1;MESTRADO;16932350;MESTRADO EM CIENCIAS CONTABEIS (UNB-UFRN-UFPB);CONCLUÍDO;2014/05/23 01:23:12.673000000;2014;1
ee5f2c25b07bae62d4eb10c352b8cdc3;2007;1;MESTRADO;16932350;MESTRADO EM CIENCIAS CONTABEIS (UNB-UFRN-UFPB);EM HOMOLOGAÇÃO;2014/05/23 21:18:51.496000000;2014;1
5da57ed8a57454383d8588c0bf8d6771;2007;1;MESTRADO;16932350;MESTRADO EM CIENCIAS CONTABEIS (UNB-UFRN-UFPB);CONCLUÍDO;2014/05/23 22:18:45.551000000;2014;1
a7292bca99c54a434d87e47d3cb3099d;2009;1;DOUTORADO;5876841;DOUTORADO EM CIENCIAS CONTABEIS (UNB-UFRN-UFPB);CONCLUÍDO;2014/05/27 02:22:30.765000000;2014;1
a7292bca99c54a434d87e47d3cb3099d;2009;1;DOUTORADO;5876841;DOUTORADO EM CIENCIAS CONTABEIS (UNB-UFRN-UFPB);EM HOMOLOGAÇÃO;2014/05/27 02:32:24.545000000;2014;1
