"id_discente";"ano_ingresso";"periodo_ingresso";"nivel_ensino";"id_curso";"curso";"situacao";"data_alteracao_situacao";"ano_alteracao_situacao";"periodo_alteracao_situacao"
9f0f5ed0e9f8a33b36a7267f65d89476;2016;2;MESTRADO;97339504;MESTRADO PROFISSIONAL EM GESTÃO DE PROCESSOS INSTITUCIONAIS;EM HOMOLOGAÇÃO;2018/05/10 17:34:06.930000000;2018;1
83d20aafc028b12507443e9002a2cc85;2016;1;MESTRADO;315753;MESTRADO EM ENGENHARIA QUÍMICA;EM HOMOLOGAÇÃO;2018/05/10 21:51:08.651000000;2018;1
28809f8597466b5f80a0991133f3147e;2013;2;DOUTORADO;315754;DOUTORADO EM ENGENHARIA QUÍMICA;EM HOMOLOGAÇÃO;2018/05/10 21:55:11.967000000;2018;1
f6b8235088d13f8bab86297b8c62efdf;2014;1;MESTRADO;315745;MESTRADO EM EDUCAÇÃO;EM HOMOLOGAÇÃO;2018/05/11 15:28:38.465000000;2018;1
7bc4876eb23069d9d4e907f4ca0b6d24;2016;1;MESTRADO;315731;MESTRADO EM GEOGRAFIA;DEFENDIDO;2018/05/22 14:57:20.565000000;2018;1
943f325e1d8a43e5a9a237dd7ef4aa8c;2016;1;MESTRADO;315731;MESTRADO EM GEOGRAFIA;DEFENDIDO;2018/05/22 15:01:10.056000000;2018;1
4577d98918b056bcfc19102414f96f3d;2015;2;MESTRADO;91477182;MESTRADO PROFISSIONAL EM ARQUITETURA, PROJETO E MEIO AMBIENTE;DEFENDIDO;2018/05/22 15:03:07.488000000;2018;1
8d3a6bff40efddff109be369e49eb636;2016;1;MESTRADO;115845492;MESTRADO EM BIOINFORMÁTICA;DEFENDIDO;2018/05/22 15:05:43.317000000;2018;1
7bc4876eb23069d9d4e907f4ca0b6d24;2016;1;MESTRADO;315731;MESTRADO EM GEOGRAFIA;CONCLUÍDO;2018/05/25 17:51:01.622000000;2018;1
8041555360c85ccad621e1ab159b7ca1;2016;1;MESTRADO;315753;MESTRADO EM ENGENHARIA QUÍMICA;DEFENDIDO;2018/06/29 11:32:55.431000000;2018;1
c4f341b87b3095487b13f18ad330d3ac;2013;2;DOUTORADO;315754;DOUTORADO EM ENGENHARIA QUÍMICA;DEFENDIDO;2018/07/03 11:26:56.552000000;2018;1
c4f341b87b3095487b13f18ad330d3ac;2013;2;DOUTORADO;315754;DOUTORADO EM ENGENHARIA QUÍMICA;ATIVO;2018/07/03 11:28:18.690000000;2018;1
8f910a0061cb05fe6a8d2b4a159f0bc0;2014;1;DOUTORADO;315777;DOUTORADO EM CIÊNCIAS SOCIAIS;DEFENDIDO;2018/07/18 10:42:56.470000000;2018;1
2b1f0c7104c7780a23669ef88e6cf14f;2015;1;MESTRADO;315789;MESTRADO EM FISIOTERAPIA;DEFENDIDO;2017/12/14 15:01:58.908000000;2018;1
2b1f0c7104c7780a23669ef88e6cf14f;2015;1;MESTRADO;315789;MESTRADO EM FISIOTERAPIA;EM HOMOLOGAÇÃO;2017/12/14 15:02:48.317000000;2018;1
6fba4f11120a1dc19cb6c8cff790a7dc;2017;2;MESTRADO;114310260;MESTRADO PROFISSIONAL EM QUÍMICA - PROFQUI;ATIVO;2017/12/18 16:43:34.784000000;2018;1
dc281be13c472554b07d07748a856a0c;2017;2;TÉCNICO;125836370;TÉCNICO EM ADMINISTRAÇÃO - MEDIOTEC - 2017.2 - PATÚ;ATIVO;2017/12/27 11:49:14.138000000;2018;1
