"id_discente";"ano_ingresso";"periodo_ingresso";"nivel_ensino";"id_curso";"curso";"situacao";"data_alteracao_situacao";"ano_alteracao_situacao";"periodo_alteracao_situacao"
fdf2b615ca2a9775e7950c1a71ffc0bc;2001;1;MESTRADO;315778;MESTRADO EM CLÍNICAS ODONTOLÓGICAS;ATIVO;2017/08/31 17:16:40.349000000;2017;2
e6eb9155e7c6f26d7f40f609ed30a0f2;2014;1;MESTRADO;315776;MESTRADO EM CIÊNCIAS SOCIAIS;CONCLUÍDO;2017/10/26 11:14:20.492000000;2017;2
e6eb9155e7c6f26d7f40f609ed30a0f2;2014;1;MESTRADO;315776;MESTRADO EM CIÊNCIAS SOCIAIS;ATIVO;2017/10/26 11:15:47.857000000;2017;2
0bbc422bf3b835196746568f19a457d4;2015;1;MESTRADO;315776;MESTRADO EM CIÊNCIAS SOCIAIS;CONCLUÍDO;2017/10/26 11:16:15.618000000;2017;2
0bbc422bf3b835196746568f19a457d4;2015;1;MESTRADO;315776;MESTRADO EM CIÊNCIAS SOCIAIS;ATIVO;2017/10/26 11:18:04.107000000;2017;2
e57b64dd4c766b01adb14e9c29ba4e5a;2012;1;DOUTORADO;315787;DOUTORADO EM CIÊNCIA E ENGENHARIA DE PETRÓLEO;CONCLUÍDO;2017/11/23 15:18:20.054000000;2017;2
e57b64dd4c766b01adb14e9c29ba4e5a;2012;1;DOUTORADO;315787;DOUTORADO EM CIÊNCIA E ENGENHARIA DE PETRÓLEO;ATIVO;2017/11/23 15:23:25.427000000;2017;2
e57b64dd4c766b01adb14e9c29ba4e5a;2012;1;DOUTORADO;315787;DOUTORADO EM CIÊNCIA E ENGENHARIA DE PETRÓLEO;EM HOMOLOGAÇÃO;2017/11/23 15:25:08.480000000;2017;2
1626b1ed1b886adbe01ed7331c50462c;2004;1;DOUTORADO;315777;DOUTORADO EM CIÊNCIAS SOCIAIS;EM HOMOLOGAÇÃO;2017/12/27 17:59:14.321000000;2017;2
91c7ad8f2d67e1e828f9e74773321044;2014;2;DOUTORADO;104910434;DOUTORADO EM TURISMO;DEFENDIDO;2017/06/19 08:41:13.061000000;2017;2
b02c4a6c1f6e5d14d4da66882b2d9da2;2013;1;DOUTORADO;95726200;DOUTORADO EM FISIOTERAPIA;DEFENDIDO;2017/06/19 15:22:01.946000000;2017;2
b02c4a6c1f6e5d14d4da66882b2d9da2;2013;1;DOUTORADO;95726200;DOUTORADO EM FISIOTERAPIA;EM HOMOLOGAÇÃO;2017/06/19 15:23:16.207000000;2017;2
91c7ad8f2d67e1e828f9e74773321044;2014;2;DOUTORADO;104910434;DOUTORADO EM TURISMO;EM HOMOLOGAÇÃO;2017/06/20 10:58:15.492000000;2017;2
39514c46c08a9831ec9f46008ffd87aa;2015;1;MESTRADO;315789;MESTRADO EM FISIOTERAPIA;DEFENDIDO;2017/06/20 13:39:04.138000000;2017;2
39514c46c08a9831ec9f46008ffd87aa;2015;1;MESTRADO;315789;MESTRADO EM FISIOTERAPIA;EM HOMOLOGAÇÃO;2017/06/20 16:35:52.382000000;2017;2
98252f8f16b5d669e032f303c4897f2c;2015;1;MESTRADO;507421;MESTRADO EM TURISMO;DEFENDIDO;2017/06/21 09:25:06.229000000;2017;2
98252f8f16b5d669e032f303c4897f2c;2015;1;MESTRADO;507421;MESTRADO EM TURISMO;EM HOMOLOGAÇÃO;2017/06/21 09:31:37.547000000;2017;2
63989770d24b26d88fb86aa6330104df;2015;1;DOUTORADO;95726200;DOUTORADO EM FISIOTERAPIA;DEFENDIDO;2017/06/21 11:23:57.717000000;2017;2
63989770d24b26d88fb86aa6330104df;2015;1;DOUTORADO;95726200;DOUTORADO EM FISIOTERAPIA;EM HOMOLOGAÇÃO;2017/06/21 15:44:58.765000000;2017;2
f7529a2446267d1d507c113ceadf6981;2014;1;MESTRADO;507421;MESTRADO EM TURISMO;DEFENDIDO;2017/06/22 11:25:25.505000000;2017;2
f7529a2446267d1d507c113ceadf6981;2014;1;MESTRADO;507421;MESTRADO EM TURISMO;EM HOMOLOGAÇÃO;2017/06/22 17:01:59.782000000;2017;2
e7f825342c26929a5e61a0a98abd7745;2015;1;MESTRADO;19106930;MESTRADO EM ESTUDOS URBANOS E REGIONAIS;DEFENDIDO;2017/06/26 15:35:47.154000000;2017;2
b3a9c0ce0dadfdb6cfbcff7acc91d414;2015;1;MESTRADO;19106930;MESTRADO EM ESTUDOS URBANOS E REGIONAIS;DEFENDIDO;2017/06/27 15:07:52.226000000;2017;2
e7f825342c26929a5e61a0a98abd7745;2015;1;MESTRADO;19106930;MESTRADO EM ESTUDOS URBANOS E REGIONAIS;EM HOMOLOGAÇÃO;2017/06/27 21:55:36.604000000;2017;2
b3a9c0ce0dadfdb6cfbcff7acc91d414;2015;1;MESTRADO;19106930;MESTRADO EM ESTUDOS URBANOS E REGIONAIS;EM HOMOLOGAÇÃO;2017/06/27 22:00:51.197000000;2017;2
4fd9e2154b9183313502997377ce26b1;2015;1;MESTRADO;315745;MESTRADO EM EDUCAÇÃO;DEFENDIDO;2017/07/20 11:32:21.655000000;2017;2
