id_turma;id_curso;ano;periodo;media_final_geral;total_alunos;qtd_aprovado;qtd_aprovado_por_nota;total_aprovados;qtd_reprovado;qtd_reprovado_por_média_e_por_faltas;qtd_reprovado_por_faltas;qtd_reprovado_por_nota_e_falta;qtd_reprovado_por_nota;qtd_desistencia;qtd_trancado
1199452;10317040;2013;1;8.674285714285714;36;35;0;35;0;1;0;0;0;0;0
1199455;10317040;2013;1;8.516666666666667;6;6;0;6;0;0;0;0;0;0;0
1199456;10317040;2013;1;7.883333333333333;7;6;0;6;0;0;0;0;0;0;1
1199458;10317040;2013;1;7.720000000000001;5;5;0;5;0;0;0;0;0;0;0
1199460;10317040;2013;1;8.92;6;5;0;5;0;0;0;0;0;0;1
1199462;10317040;2013;1;7.833333333333333;6;6;0;6;0;0;0;0;0;0;0
1199465;10317040;2013;1;7.966666666666666;6;6;0;6;0;0;0;0;0;0;0
1199469;10317040;2013;1;8.4;10;10;0;10;0;0;0;0;0;0;0
1199470;10317040;2013;1;8.428571428571429;10;7;0;7;0;0;0;0;0;1;2
1199473;10317040;2013;1;7.992857142857143;28;28;0;28;0;0;0;0;0;0;0
1199475;10317040;2013;1;8.362499999999999;8;8;0;8;0;0;0;0;0;0;0
1199476;10317040;2013;1;8.0375;9;8;0;8;0;0;0;0;0;0;1
1199477;10317040;2013;1;7.987499999999999;13;8;0;8;2;0;0;0;0;0;3
1199478;10317040;2013;1;7.433333333333334;3;3;0;3;0;0;0;0;0;0;0
1199482;10317040;2013;1;8.961290322580645;33;31;0;31;2;0;0;0;0;0;0
1199497;10317040;2013;1;7.484615384615385;13;13;0;13;0;0;0;0;0;0;0
1199510;10317040;2013;1;7.584615384615384;13;13;0;13;0;0;0;0;0;0;0
1199512;10317040;2013;1;8.542857142857143;15;14;0;14;0;0;0;0;0;1;0
1199525;10317040;2013;1;8.592307692307692;13;13;0;13;0;0;0;0;0;0;0
1199553;10317040;2013;1;7.6;4;3;0;3;0;0;0;0;0;1;0
1199568;10317040;2013;1;6.875;4;4;0;4;0;0;0;0;0;0;0
1199569;10317040;2013;1;7.3;3;3;0;3;0;0;0;0;0;0;0
1199584;10317040;2013;1;7.366666666666667;3;3;0;3;0;0;0;0;0;0;0
1199585;10317040;2013;1;6.775;4;4;0;4;0;0;0;0;0;0;0
1199600;10317040;2013;1;6.949999999999999;4;4;0;4;0;0;0;0;0;0;0
1199601;10317040;2013;1;7.35;4;4;0;4;0;0;0;0;0;0;0
1199604;10317040;2013;1;7.1000000000000005;3;3;0;3;0;0;0;0;0;0;0
1199609;10317040;2013;1;7.599999999999999;3;3;0;3;0;0;0;0;0;0;0
1199612;10317040;2013;1;7.781818181818181;11;11;0;11;0;0;0;0;0;0;0
1199614;10317040;2013;1;8.35;10;10;0;10;0;0;0;0;0;0;0
1199618;10317040;2013;1;0.0;2;0;0;0;0;0;0;0;0;2;0
1199962;10317040;2013;1;7.687500000000001;35;32;0;32;3;0;0;0;0;0;0
1199964;10317040;2013;1;7.833333333333333;3;3;0;3;0;0;0;0;0;0;0
1200146;10317040;2013;1;0.0;1;0;0;0;0;0;0;0;0;0;1
1203388;10317040;2013;1;6.158064516129032;35;31;0;31;4;0;0;0;0;0;0
1205508;10317040;2013;1;8.4;1;1;0;1;0;0;0;0;0;0;0
1205509;10317040;2013;1;8.2;2;2;0;2;0;0;0;0;0;0;0
1196814;10320810;2013;1;7.8;1;1;0;1;0;0;0;0;0;0;0
1196876;10320810;2013;1;6.9;7;4;0;4;1;0;0;0;0;1;1
1196880;10320810;2013;1;7.666666666666667;8;6;0;6;0;0;0;0;0;0;2
1196881;10320810;2013;1;7.3;1;1;0;1;0;0;0;0;0;0;0
1196884;10320810;2013;1;7.399999999999999;13;8;0;8;1;1;0;0;0;0;3
1196887;10320810;2013;1;6.339999999999999;6;5;0;5;0;0;0;0;0;1;0
1196889;10320810;2013;1;5.7;5;3;0;3;0;0;0;0;0;2;0
1196893;10320810;2013;1;7.6;18;11;0;11;1;0;0;0;0;3;3
1196896;10320810;2013;1;6.3;13;5;0;5;0;0;0;0;0;4;4
1196899;10320810;2013;1;5.683333333333333;9;6;0;6;1;0;0;0;0;1;1
1196901;10320810;2013;1;7.475;6;4;0;4;0;1;0;0;0;0;1
1196904;10320810;2013;1;7.564285714285715;22;14;0;14;0;0;0;0;0;6;2
1196906;10320810;2013;1;7.45;8;2;0;2;1;1;0;0;0;1;3
1196909;10320810;2013;1;6.5625;12;8;0;8;1;0;0;0;0;1;2
1196910;10320810;2013;1;8.3;4;1;0;1;1;0;0;0;0;1;1
1196911;10320810;2013;1;5.666666666666667;12;6;0;6;3;0;0;0;0;1;2
1196914;10320810;2013;1;6.375;6;4;0;4;1;0;0;0;0;1;0
1196916;10320810;2013;1;6.699999999999999;4;2;0;2;1;0;0;0;0;0;1
1196917;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;1;0
1196933;10320810;2013;1;9.0;1;1;0;1;0;0;0;0;0;0;0
1196981;10320810;2013;1;6.8;1;1;0;1;0;0;0;0;0;0;0
1197000;10320810;2013;1;8.7;1;1;0;1;0;0;0;0;0;0;0
1197076;10320810;2013;1;8.2;1;1;0;1;0;0;0;0;0;0;0
1197083;10320810;2013;1;8.2;1;1;0;1;0;0;0;0;0;0;0
1197100;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;0;1
1197103;10320810;2013;1;9.6;1;1;0;1;0;0;0;0;0;0;0
1197145;10320810;2013;1;7.666666666666667;3;3;0;3;0;0;0;0;0;0;0
1197171;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;0;1
1197180;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;0;1
1197187;10320810;2013;1;8.399999999999999;4;2;0;2;0;0;0;0;0;0;2
1197192;10320810;2013;1;0.0;1;0;0;0;1;0;0;0;0;0;0
1197201;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;0;1
1197215;10320810;2013;1;7.15;15;10;0;10;0;2;0;0;0;1;2
1197223;10320810;2013;1;0.0;2;0;0;0;0;0;0;0;0;0;2
1197227;10320810;2013;1;7.0857142857142845;8;7;0;7;0;0;0;0;0;1;0
1197230;10320810;2013;1;7.5;2;2;0;2;0;0;0;0;0;0;0
1197233;10320810;2013;1;0.0;2;0;0;0;1;0;0;0;0;0;1
1197258;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;0;1
1197279;10320810;2013;1;8.4;1;1;0;1;0;0;0;0;0;0;0
1197287;10320810;2013;1;7.0;2;1;0;1;0;0;0;0;0;0;1
1197293;10320810;2013;1;9.0;1;1;0;1;0;0;0;0;0;0;0
1197299;10320810;2013;1;7.75;2;2;0;2;0;0;0;0;0;0;0
1197302;10320810;2013;1;7.6;1;1;0;1;0;0;0;0;0;0;0
1197324;10320810;2013;1;7.8;1;1;0;1;0;0;0;0;0;0;0
1197326;10320810;2013;1;7.9333333333333345;3;3;0;3;0;0;0;0;0;0;0
1197339;10320810;2013;1;0.0;1;0;0;0;1;0;0;0;0;0;0
1197344;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;1;0
1197345;10320810;2013;1;7.9125;8;8;0;8;0;0;0;0;0;0;0
1197381;10320810;2013;1;6.775;4;4;0;4;0;0;0;0;0;0;0
1197382;10320810;2013;1;8.416666666666666;13;6;0;6;0;0;2;0;0;1;4
1197383;10320810;2013;1;8.95;3;2;0;2;0;0;0;0;0;0;1
1197384;10320810;2013;1;9.25;3;2;0;2;1;0;0;0;0;0;0
1197386;10320810;2013;1;9.0;3;1;0;1;0;0;0;0;0;0;2
1197388;10320810;2013;1;6.949999999999999;3;2;0;2;0;0;0;0;0;0;1
1197390;10320810;2013;1;7.35;6;2;0;2;1;0;0;0;0;0;3
1197391;10320810;2013;1;5.0;3;1;0;1;2;0;0;0;0;0;0
1197393;10320810;2013;1;6.925000000000001;5;4;0;4;0;1;0;0;0;0;0
1197394;10320810;2013;1;0.0;4;0;0;0;0;0;0;0;0;2;2
1197395;10320810;2013;1;8.2;2;1;0;1;0;0;0;0;0;0;1
1197398;10320810;2013;1;7.6;2;1;0;1;1;0;0;0;0;0;0
1197405;10320810;2013;1;7.5;5;4;0;4;0;0;0;0;0;0;1
1197407;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;0;1
1197412;10320810;2013;1;8.9;1;1;0;1;0;0;0;0;0;0;0
1197436;10320810;2013;1;9.6;1;1;0;1;0;0;0;0;0;0;0
1197454;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;1;0
1197537;10320810;2013;1;8.714285714285714;7;7;0;7;0;0;0;0;0;0;0
1197543;10320810;2013;1;7.0;1;1;0;1;0;0;0;0;0;0;0
1197575;10320810;2013;1;9.0;1;1;0;1;0;0;0;0;0;0;0
1197590;10320810;2013;1;7.7;2;1;0;1;0;0;0;0;0;0;1
1197620;10320810;2013;1;7.733333333333336;111;90;0;90;16;0;0;0;0;3;2
1197623;10320810;2013;1;8.344897959183672;115;98;0;98;15;0;0;0;0;2;0
1197625;10320810;2013;1;6.783333333333331;97;48;0;48;43;0;0;0;0;5;1
1197628;10320810;2013;1;6.679999999999999;130;90;0;90;37;0;0;0;0;2;1
1197630;10320810;2013;1;6.43191489361702;120;47;0;47;65;0;0;0;0;6;2
1197632;10320810;2013;1;6.215;110;40;0;40;50;9;0;0;0;4;7
1197634;10320810;2013;1;6.54179104477612;116;67;0;67;44;0;0;0;0;2;3
1197636;10320810;2013;1;8.175221238938054;134;113;0;113;17;0;0;0;0;3;1
1197638;10320810;2013;1;7.019230769230767;101;52;0;52;26;8;0;0;0;7;8
1197640;10320810;2013;1;7.883999999999999;121;50;0;50;53;1;0;0;0;4;13
1197642;10320810;2013;1;6.774358974358975;133;78;0;78;40;0;0;0;0;1;14
1197644;10320810;2013;1;7.354000000000001;125;50;0;50;36;3;0;0;0;6;30
1197646;10320810;2013;1;7.40344827586207;130;29;0;29;69;16;0;0;0;1;15
1197648;10320810;2013;1;7.817808219178084;143;73;0;73;49;0;0;0;0;1;20
1197651;10320810;2013;1;5.6571428571428575;120;14;0;14;75;0;0;0;0;4;27
1197654;10320810;2013;1;7.006249999999999;120;48;0;48;36;0;0;0;0;7;29
1197668;10320810;2013;1;7.978260869565216;28;23;0;23;4;0;0;0;0;1;0
1197671;10320810;2013;1;7.795238095238096;27;21;0;21;5;0;0;0;0;0;1
1197673;10320810;2013;1;7.772727272727272;27;22;0;22;4;0;0;0;0;1;0
1197675;10320810;2013;1;7.535000000000001;27;20;0;20;4;0;0;0;0;1;2
1197678;10320810;2013;1;7.612500000000001;30;24;0;24;5;0;0;0;0;0;1
1197684;10320810;2013;1;7.504761904761905;30;21;0;21;5;0;0;0;0;0;4
1197685;10320810;2013;1;7.869565217391303;29;23;0;23;4;1;0;0;0;1;0
1197686;10320810;2013;1;7.233333333333333;29;21;0;21;5;1;0;0;0;1;1
1197687;10320810;2013;1;7.3647058823529425;27;17;0;17;4;3;0;0;0;2;1
1197688;10320810;2013;1;7.084999999999999;32;20;0;20;6;1;0;0;0;0;5
1197690;10320810;2013;1;7.247619047619048;29;21;0;21;4;0;0;0;0;2;2
1197691;10320810;2013;1;7.295238095238095;31;21;0;21;7;1;0;0;0;1;1
1197692;10320810;2013;1;7.294444444444443;31;18;0;18;9;2;0;0;0;0;2
1197693;10320810;2013;1;7.470000000000001;30;20;0;20;5;1;0;0;0;0;4
1197694;10320810;2013;1;7.353333333333333;28;15;0;15;9;1;0;0;0;1;2
1197696;10320810;2013;1;6.800000000000001;28;12;0;12;12;1;0;0;0;1;2
1197700;10320810;2013;1;7.123076923076923;27;13;0;13;5;1;0;0;0;2;6
1197704;10320810;2013;1;6.699999999999998;28;15;0;15;5;3;0;0;0;1;4
1197707;10320810;2013;1;6.777777777777778;24;9;0;9;6;0;0;0;0;2;7
1197708;10320810;2013;1;6.381818181818182;27;11;0;11;12;0;0;0;0;1;3
1197711;10320810;2013;1;6.0857142857142845;19;7;0;7;7;0;0;0;0;1;4
1197712;10320810;2013;1;6.785714285714287;24;7;0;7;8;4;0;0;0;1;4
1197713;10320810;2013;1;6.533333333333334;29;9;0;9;8;7;0;0;0;0;5
1197714;10320810;2013;1;6.733333333333333;22;9;0;9;8;4;0;0;0;0;1
1197716;10320810;2013;1;6.934615384615384;132;26;0;26;91;0;0;0;0;3;12
1197743;10320810;2013;1;5.755555555555556;124;9;0;9;101;0;0;0;0;6;8
1197748;10320810;2013;1;6.593548387096774;133;62;0;62;61;0;0;0;0;3;7
1197769;10320810;2013;1;7.066666666666667;9;9;0;9;0;0;0;0;0;0;0
1197778;10320810;2013;1;7.735353535353536;109;99;0;99;5;1;0;0;0;2;2
1197779;10320810;2013;1;7.936363636363636;113;99;0;99;3;3;0;0;0;5;3
1197780;10320810;2013;1;7.826470588235293;146;136;0;136;3;0;0;0;0;5;2
1197782;10320810;2013;1;7.490825688073394;128;109;0;109;4;1;0;0;0;6;8
1197783;10320810;2013;1;7.412500000000001;52;24;0;24;1;12;0;0;0;6;9
