ano;periodo;id_turma;media_final_geral;total_alunos;qtd_aprovado;qtd_desistencia;qtd_reprovado_por_média_e_por_faltas;qtd_trancado;qtd_aprovado_por_nota;qtd_reprovado;qtd_reprovado_por_faltas;qtd_reprovado_por_nota_e_falta;qtd_reprovado_por_nota
2013;1;1196293;5.75;33;8;0;9;0;0;16;0;0;0
2013;1;1196294;6.17;34;10;0;8;0;0;16;0;0;0
2013;1;1196295;5.828571428571428;38;7;0;22;0;0;9;0;0;0
2013;1;1196296;6.075;31;4;0;0;0;0;27;0;0;0
2013;1;1196297;5.827272727272727;35;11;0;0;0;0;24;0;0;0
2013;1;1196298;6.454545454545456;40;11;0;25;0;0;3;1;0;0
2013;1;1196299;5.433333333333333;35;6;0;25;0;0;4;0;0;0
2013;1;1196300;6.066666666666666;30;6;0;17;0;0;7;0;0;0
2013;1;1196301;5.6375;34;16;0;14;0;0;4;0;0;0
2013;1;1196302;5.9;27;3;0;20;0;0;4;0;0;0
2013;1;1196303;6.42;38;5;0;22;0;0;11;0;0;0
2013;1;1196304;5.463636363636363;38;11;0;13;0;0;14;0;0;0
2013;1;1196305;6.0;35;17;0;0;0;0;18;0;0;0
2013;1;1196306;6.55;38;4;0;25;0;0;9;0;0;0
2013;1;1196307;6.866666666666666;23;6;0;16;0;0;1;0;0;0
2013;1;1196308;5.44;40;10;0;0;0;0;30;0;0;0
2013;1;1196309;5.5200000000000005;23;5;0;0;0;0;18;0;0;0
2013;1;1196310;5.51111111111111;37;9;0;19;0;0;9;0;0;0
2013;1;1196311;5.3;36;6;0;22;0;0;8;0;0;0
2013;1;1196312;6.0625;31;8;0;20;0;0;3;0;0;0
2013;1;1196313;5.655555555555555;32;9;0;0;0;0;23;0;0;0
2013;1;1196314;5.5600000000000005;39;5;0;34;0;0;0;0;0;0
2013;1;1196315;5.112500000000001;38;8;0;26;0;0;4;0;0;0
2013;1;1196316;5.816666666666666;40;6;0;0;0;0;34;0;0;0
2013;1;1196317;5.76;36;5;0;22;0;0;9;0;0;0
2013;1;1196318;5.76;38;5;0;23;0;0;10;0;0;0
2013;1;1196319;6.110000000000001;39;10;0;25;0;0;4;0;0;0
2013;1;1196320;5.35;39;10;0;26;0;0;3;0;0;0
2013;1;1196321;5.844444444444445;32;9;0;0;0;0;23;0;0;0
2013;1;1196322;5.228571428571428;36;7;0;0;0;0;29;0;0;0
2013;1;1196323;5.341666666666666;32;12;0;0;0;0;20;0;0;0
2013;1;1196324;5.668749999999999;34;16;0;15;0;0;3;0;0;0
2013;1;1196325;5.964285714285714;38;14;0;0;0;0;24;0;0;0
2013;1;1196326;5.06875;40;16;0;19;0;0;5;0;0;0
2013;1;1196327;5.822222222222223;39;9;0;22;0;0;8;0;0;0
2013;1;1196328;5.1571428571428575;34;7;0;0;0;0;27;0;0;0
2013;1;1196329;5.2;34;7;0;25;0;0;2;0;0;0
2013;1;1196330;5.633333333333333;39;9;0;24;0;0;6;0;0;0
2013;1;1196331;6.2875;35;8;0;19;0;0;8;0;0;0
2013;1;1196332;5.3;35;3;0;28;0;0;4;0;0;0
2013;1;1196333;5.625;38;4;0;24;0;0;10;0;0;0
2013;1;1196334;5.699999999999999;32;9;0;21;0;0;2;0;0;0
2013;1;1196335;5.739999999999999;38;15;0;16;0;0;7;0;0;0
2013;1;1196336;5.825;32;8;0;15;0;0;9;0;0;0
2013;1;1196337;5.909999999999999;34;10;0;17;0;0;7;0;0;0
2013;1;1196338;5.61875;35;16;0;14;0;0;5;0;0;0
2013;1;1196339;6.118181818181818;31;11;0;13;0;0;7;0;0;0
2013;1;1196340;6.6571428571428575;36;7;0;0;0;0;29;0;0;0
2013;1;1196341;5.811764705882352;35;17;0;14;0;0;4;0;0;0
2013;1;1196342;6.459999999999999;32;5;0;17;0;0;10;0;0;0
2013;1;1196343;6.099999999999999;34;12;0;14;0;0;8;0;0;0
2013;1;1196344;5.84;30;5;0;0;0;0;25;0;0;0
2013;1;1196345;5.05;24;2;0;0;0;0;22;0;0;0
2013;1;1196346;5.844444444444445;30;9;0;17;0;0;4;0;0;0
2013;1;1196347;5.933333333333334;36;9;0;0;0;0;27;0;0;0
2013;1;1196348;6.08;26;10;0;10;0;0;6;0;0;0
2013;1;1196349;6.145454545454545;38;11;0;17;0;0;10;0;0;0
2013;1;1196350;5.52;36;5;0;25;0;0;6;0;0;0
2013;1;1196351;6.260000000000001;35;10;0;0;0;0;25;0;0;0
2013;1;1196352;5.843749999999998;38;16;0;10;0;0;12;0;0;0
2013;1;1196353;6.2875;33;8;0;9;0;0;16;0;0;0
2013;1;1196354;6.32;34;10;0;8;0;0;16;0;0;0
2013;1;1196355;5.733333333333333;37;6;0;22;0;0;9;0;0;0
2013;1;1196356;6.624999999999999;31;4;0;0;0;0;27;0;0;0
2013;1;1196357;6.127272727272728;35;11;0;0;0;0;24;0;0;0
2013;1;1196358;6.590909090909091;40;11;0;25;0;0;3;1;0;0
2013;1;1196359;6.416666666666667;35;6;0;25;0;0;4;0;0;0
2013;1;1196360;6.633333333333334;30;6;0;17;0;0;7;0;0;0
2013;1;1196361;6.042857142857143;32;14;0;14;0;0;4;0;0;0
2013;1;1196362;6.1000000000000005;27;3;0;20;0;0;4;0;0;0
2013;1;1196363;6.5200000000000005;38;5;0;22;0;0;11;0;0;0
2013;1;1196364;6.17;37;10;0;13;0;0;14;0;0;0
2013;1;1196365;6.60625;34;16;0;0;0;0;18;0;0;0
2013;1;1196366;5.800000000000001;38;4;0;25;0;0;9;0;0;0
2013;1;1196367;6.966666666666666;23;6;0;16;0;0;1;0;0;0
2013;1;1196368;4.9;40;10;0;0;0;0;30;0;0;0
2013;1;1196369;6.5;22;4;0;0;0;0;18;0;0;0
2013;1;1196370;5.0777777777777775;37;9;0;19;0;0;9;0;0;0
2013;1;1196371;5.483333333333333;36;6;0;22;0;0;8;0;0;0
2013;1;1196372;5.4875;31;8;0;20;0;0;3;0;0;0
2013;1;1196373;5.588888888888889;32;9;0;0;0;0;23;0;0;0
2013;1;1196374;6.4;39;5;0;34;0;0;0;0;0;0
2013;1;1196375;5.071428571428571;37;7;0;26;0;0;4;0;0;0
2013;1;1196376;6.516666666666667;40;6;0;0;0;0;34;0;0;0
2013;1;1196377;5.279999999999999;36;5;0;22;0;0;9;0;0;0
2013;1;1196378;4.92;38;5;0;23;0;0;10;0;0;0
2013;1;1196379;6.122222222222223;38;9;0;25;0;0;4;0;0;0
2013;1;1196380;6.82;39;10;0;26;0;0;3;0;0;0
2013;1;1196381;5.6;31;8;0;0;0;0;23;0;0;0
2013;1;1196382;5.714285714285714;36;7;0;0;0;0;29;0;0;0
2013;1;1196383;5.690909090909091;31;11;0;0;0;0;20;0;0;0
2013;1;1196384;5.92;33;15;0;15;0;0;3;0;0;0
2013;1;1196385;6.153846153846152;37;13;0;0;0;0;24;0;0;0
2013;1;1196386;5.662499999999999;40;16;0;19;0;0;5;0;0;0
2013;1;1196387;6.2333333333333325;39;9;0;22;0;0;8;0;0;0
2013;1;1196388;5.9;32;5;0;0;0;0;27;0;0;0
2013;1;1196389;6.142857142857143;34;7;0;25;0;0;2;0;0;0
2013;1;1196390;5.722222222222223;39;9;0;24;0;0;6;0;0;0
2013;1;1196391;6.737500000000001;35;8;0;19;0;0;8;0;0;0
2013;1;1196392;6.233333333333333;35;3;0;28;0;0;4;0;0;0
2013;1;1196393;6.525;38;4;0;24;0;0;10;0;0;0
2013;1;1196394;5.922222222222222;32;9;0;21;0;0;2;0;0;0
2013;1;1196395;6.786666666666666;38;15;0;16;0;0;7;0;0;0
2013;1;1196396;6.3125;32;8;0;15;0;0;9;0;0;0
2013;1;1196397;6.76;34;10;0;17;0;0;7;0;0;0
2013;1;1196398;6.15625;35;16;0;14;0;0;5;0;0;0
2013;1;1196399;6.9;32;12;0;13;0;0;7;0;0;0
2013;1;1196400;7.071428571428571;36;7;0;0;0;0;29;0;0;0
2013;1;1196401;6.576470588235295;35;17;0;14;0;0;4;0;0;0
2013;1;1196402;7.3;32;5;0;17;0;0;10;0;0;0
2013;1;1196403;6.441666666666666;34;12;0;14;0;0;8;0;0;0
2013;1;1196404;6.08;30;5;0;0;0;0;25;0;0;0
2013;1;1196405;6.233333333333333;25;3;0;0;0;0;22;0;0;0
2013;1;1196406;6.266666666666667;30;9;0;17;0;0;4;0;0;0
2013;1;1196407;6.755555555555556;36;9;0;0;0;0;27;0;0;0
2013;1;1196408;7.229999999999999;26;10;0;10;0;0;6;0;0;0
2013;1;1196409;6.890909090909092;38;11;0;17;0;0;10;0;0;0
2013;1;1196410;5.94;36;5;0;25;0;0;6;0;0;0
2013;1;1196411;7.090000000000001;35;10;0;0;0;0;25;0;0;0
2013;1;1196412;6.99375;38;16;0;10;0;0;12;0;0;0
2013;1;1196413;6.7625;33;8;0;9;0;0;16;0;0;0
2013;1;1196414;6.8;34;10;0;8;0;0;16;0;0;0
2013;1;1196415;6.316666666666666;37;6;0;22;0;0;9;0;0;0
2013;1;1196416;7.250000000000001;31;4;0;0;0;0;27;0;0;0
2013;1;1196417;7.463636363636365;35;11;0;0;0;0;24;0;0;0
2013;1;1196418;6.9;40;11;0;25;0;0;3;1;0;0
2013;1;1196419;5.566666666666666;35;6;0;25;0;0;4;0;0;0
2013;1;1196420;6.333333333333333;30;6;0;17;0;0;7;0;0;0
2013;1;1196421;7.399999999999999;33;15;0;14;0;0;4;0;0;0
2013;1;1196422;6.0;27;3;0;20;0;0;4;0;0;0
2013;1;1196423;6.339999999999999;38;5;0;22;0;0;11;0;0;0
2013;1;1196424;6.5200000000000005;37;10;0;13;0;0;14;0;0;0
2013;1;1196425;6.875;34;16;0;0;0;0;18;0;0;0
2013;1;1196426;6.050000000000001;38;4;0;25;0;0;9;0;0;0
2013;1;1196427;7.3;23;6;0;16;0;0;1;0;0;0
2013;1;1196428;5.979999999999999;40;10;0;0;0;0;30;0;0;0
2013;1;1196429;6.5;22;4;0;0;0;0;18;0;0;0
2013;1;1196430;5.888888888888889;37;9;0;19;0;0;9;0;0;0
2013;1;1196431;6.966666666666666;36;6;0;22;0;0;8;0;0;0
2013;1;1196432;6.1375;31;8;0;20;0;0;3;0;0;0
2013;1;1196433;6.766666666666667;32;9;0;0;0;0;23;0;0;0
2013;1;1196434;7.0;39;5;0;34;0;0;0;0;0;0
2013;1;1196435;6.128571428571429;37;7;0;26;0;0;4;0;0;0
2013;1;1196436;6.433333333333334;40;6;0;0;0;0;34;0;0;0
2013;1;1196437;5.64;36;5;0;22;0;0;9;0;0;0
2013;1;1196438;7.06;38;5;0;23;0;0;10;0;0;0
2013;1;1196439;7.155555555555556;38;9;0;25;0;0;4;0;0;0
2013;1;1196440;7.2;39;10;0;26;0;0;3;0;0;0
2013;1;1196441;5.8875;31;8;0;0;0;0;23;0;0;0
2013;1;1196442;6.171428571428571;36;7;0;0;0;0;29;0;0;0
2013;1;1196443;6.99090909090909;31;11;0;0;0;0;20;0;0;0
2013;1;1196444;6.7;33;15;0;15;0;0;3;0;0;0
2013;1;1196445;7.015384615384615;37;13;0;0;0;0;24;0;0;0
2013;1;1196446;6.6312500000000005;40;16;0;19;0;0;5;0;0;0
2013;1;1196447;6.455555555555556;39;9;0;22;0;0;8;0;0;0
2013;1;1196448;6.4;32;5;0;0;0;0;27;0;0;0
2013;1;1196449;6.071428571428571;34;7;0;25;0;0;2;0;0;0
2013;1;1196450;4.622222222222222;39;9;0;24;0;0;6;0;0;0
2013;1;1196451;5.112500000000001;35;8;0;19;0;0;8;0;0;0
2013;1;1196452;4.466666666666667;35;3;0;28;0;0;4;0;0;0
2013;1;1196453;5.325;38;4;0;24;0;0;10;0;0;0
2013;1;1196454;4.618181818181818;35;11;0;21;0;0;3;0;0;0
2013;1;1196455;5.453333333333333;38;15;0;16;0;0;7;0;0;0
2013;1;1196456;4.988888888888889;33;9;0;15;0;0;9;0;0;0
2013;1;1196457;4.7;35;11;0;17;0;0;7;0;0;0
2013;1;1196458;4.8;35;16;0;14;0;0;5;0;0;0
2013;1;1196459;5.0;32;12;0;13;0;0;7;0;0;0
2013;1;1196460;5.642857142857143;36;7;0;0;0;0;29;0;0;0
2013;1;1196461;4.923529411764705;35;17;0;14;0;0;4;0;0;0
2013;1;1196462;5.1000000000000005;32;5;0;17;0;0;10;0;0;0
2013;1;1196463;5.308333333333335;34;12;0;14;0;0;8;0;0;0
2013;1;1196464;5.040000000000001;30;5;0;0;0;0;25;0;0;0
2013;1;1196465;4.75;26;4;0;0;0;0;22;0;0;0
2013;1;1196466;5.377777777777778;30;9;0;17;0;0;4;0;0;0
2013;1;1196467;5.555555555555555;36;9;0;0;0;0;27;0;0;0
2013;1;1196468;5.43;26;10;0;10;0;0;6;0;0;0
2013;1;1196469;4.718181818181818;38;11;0;17;0;0;10;0;0;0
2013;1;1196470;4.779999999999999;36;5;0;25;0;0;6;0;0;0
2013;1;1196471;5.8100000000000005;35;10;0;0;0;0;25;0;0;0
2013;1;1196472;5.688235294117647;39;17;0;10;0;0;12;0;0;0
2013;1;1196473;5.75;33;8;0;9;0;0;16;0;0;0
2013;1;1196474;5.32;34;10;0;8;0;0;16;0;0;0
